 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
75,24,255.000,255,255,27.213,11.087,2.756,127.516,12.806,470,359,128.660,4.243
76,244,250.820,0,255,144.409,36.970,8.403,118.787,55.009,414,360,117.031,14.523
77,10,255.000,255,255,13.314,5.935,2.145,52.466,6.403,237,373,51.340,2.828
78,14,255.000,255,255,17.556,7.141,2.496,131.129,8.485,436,370,135.000,3.536
79,96,255.000,255,255,49.941,18.733,6.525,52.133,22.023,222,391,50.528,8.944
80,168,255.000,255,255,91.882,24.873,8.600,123.930,35.468,458,380,130.426,12.157
81,163,251.871,0,255,81.882,26.346,7.877,113.519,30.083,393,383,111.448,11.014
82,1095,252.438,0,255,332.375,43.209,32.266,174.628,53.141,280,415,19.799,42.989
83,18,255.000,255,255,18.971,8.405,2.727,43.434,9.220,232,394,40.601,3.536
84,16,255.000,255,255,16.485,7.027,2.899,13.745,7.616,223,396,23.199,3.000
85,30,246.500,0,255,27.213,9.156,4.172,124.911,11.402,364,400,127.875,5.814
86,128,255.000,255,255,57.598,16.271,10.016,162.518,21.633,382,406,146.310,12.254
87,51,255.000,255,255,42.284,17.600,3.690,114.104,19.235,440,410,117.897,4.919
88,16,255.000,255,255,16.485,7.075,2.879,102.995,7.616,251,413,113.199,3.000
89,96,255.000,255,255,44.870,16.834,7.261,97.582,18.682,369,420,105.524,8.000
90,30,255.000,255,255,25.314,10.506,3.636,102.526,11.402,325,435,105.255,4.000
91,15,255.000,255,255,24.142,9.435,2.024,93.999,10.198,368,451,101.310,2.959
92,19,255.000,255,255,22.485,9.382,2.579,95.070,10.198,333,453,101.310,3.000
